index,zip code,annual income,number of people in household
72,20455,217568.71638810413,2
73,05200,170054.25829997295,2
74,14323,65030.144781917064,4
75,25537,211759.76394455167,1
76,08852,193536.54155241934,2
77,29525,74262.37486260179,3
78,20519,104245.54189684389,3
79,47300,331296.3516933677,8
80,97787,120417.76406777238,3
81,59281,104131.31078108586,3
82,14283,90490.01187093157,3
83,10537,190499.56790564978,5
84,24604,94838.07918630012,3
85,24482,79783.83214128988,3
86,59023,147252.59597166523,2
87,17074,101115.6364461587,4
88,50842,217256.66140411302,4
89,17389,125003.59764349011,2
90,34280,79883.48638926931,3
91,28187,159842.10669852357,2
92,66306,148340.820723952,2
93,25132,259224.44244456218,4
94,44182,190126.67985604575,4
95,15584,137357.03285979107,1
96,50535,225900.3181919707,1
97,67858,170544.5212525663,5
98,21428,55566.26291960687,3
99,65329,248095.33729895923,4
100,22841,53406.75392822556,3
101,71421,63839.23748316574,2
102,49481,250240.48086162453,5
103,59383,120858.15737899319,2
104,15706,109063.53670621543,3
105,93900,141637.37424982322,3
106,36417,277677.0466288329,3
107,58630,92370.02546514371,3
108,24429,105426.64788198903,4
109,05467,141102.39959703348,1
110,12351,341421.85371312255,2
111,06763,292102.94186179584,4
112,69138,124494.27086229622,3
113,31014,101314.98392857188,1
114,43939,102581.258133567,7
115,20316,113568.1871811872,5
116,75720,118959.96179477262,3
117,08019,108180.02096509343,5
118,61356,176997.60467908994,1
119,21713,409666.69544099626,3
120,79853,60503.918156560954,7
121,18724,120150.10888040524,3
122,47587,151842.84037581203,3
123,06879,91411.48805770575,2
124,83143,109697.40143693554,3
125,40435,123725.3747411186,2
126,84727,177512.5041228864,6
127,16040,154715.76255038212,3
128,08431,180561.0857713129,5
129,01704,242617.2627373635,5
130,58539,129860.78078867892,3
131,12241,127319.14030945084,2
132,25681,84622.44785293454,2
133,42563,59980.53610189747,2
134,85508,705487.9679337523,1
135,72978,124897.07592685442,4
136,00929,106480.77874578364,4
137,77230,72637.29495979933,8
138,29941,159490.43028183928,4
139,96297,113481.36846473975,4
140,49419,143238.07828184686,4
141,94602,123413.28835626195,3
142,79174,99124.38567262795,6
143,73232,206241.71460951748,5
144,55119,110139.44169487116,5
145,07992,134365.97088001497,2
146,34657,131942.62306943518,4
147,09404,303597.54658753035,4
148,68713,44683.98275911738,3
149,15973,192209.76164978827,3
150,74549,169721.51342036025,1
151,84116,144406.45629587772,1
152,83913,308026.4739596551,1
153,45043,140048.29487382717,4
154,38456,112303.97464528443,4
155,72246,144644.62342723447,3
156,00533,214415.5086433266,1
157,61306,90837.96862010016,2
158,06385,142045.81003155655,6
159,34215,289140.6396798485,4
160,22402,69044.50874469621,1
161,37788,200281.97612628652,3
162,91861,562224.0981097661,3
163,76458,87240.55405144261,2
164,15113,114485.98067455302,3
165,29274,335513.0482850188,4
166,50162,115547.03518684424,4
167,90261,102495.55255537323,2
168,71832,125189.54618226214,2
169,59553,166486.1716114226,2
170,20651,124396.54613226034,2
171,81852,91257.51246220943,3
172,78134,76853.50432270866,1
173,70166,120810.45127724836,3
174,53920,206356.8639545675,5
175,13818,110711.80203795375,3
176,36113,206370.62688488766,3
177,91135,114627.64971086063,2
178,70080,96489.43877969249,5
179,73925,304140.5432827574,2
180,00784,535406.131491628,5
181,02637,222749.3131434411,5
182,45358,90181.77284502712,2
183,87008,102850.69701621334,3
184,97991,115660.0948013147,2
185,83484,215555.79959420432,3
186,44224,110140.1900742972,2
187,55877,151164.5675509313,2
188,83946,69917.52952367229,3
189,35260,38640.49890583653,3
190,84645,67160.26052647145,2
191,62375,128326.49168851505,1
192,50157,113953.8692624305,5
193,36272,73830.42895574264,4
194,21211,124483.31402860105,5
195,05607,178283.58833309202,5
196,93524,220532.52991439874,3
197,05718,153370.45246019732,3
198,75478,104211.98314926463,6
199,94147,105253.85661068527,4
200,72787,120209.03540212571,5
201,84743,226520.22364195596,3
202,22624,156552.65622550715,3
203,70948,136558.94164132216,2
204,81411,232324.4947599006,2
205,89480,201744.62862940843,2
206,32744,176610.86985096787,3
207,64115,49691.007555182645,3
208,73633,173262.64269611618,2
209,15215,98592.19075247317,4
210,91119,221436.09050932113,2
211,19434,120284.45122940099,2
212,95917,51634.08019261041,1
213,58301,182051.29282763987,2
214,90983,109731.46877493939,4
215,27224,219476.74261399647,2
216,29830,129544.93327947152,3
217,21034,70139.56756637627,7
218,07751,122485.13635117213,7
219,63586,205524.45677113676,3
220,12636,127089.70879975047,3
221,54078,103412.77914937522,2
222,15241,108447.8201046452,3
223,23307,43621.64392321701,3
224,92960,106746.0548142177,5
225,96855,173440.53541534446,2
226,64280,128685.18552305283,4
227,29043,141546.35075008095,6
228,46413,86885.91218943257,3
229,80658,357244.10678281897,7
230,08730,97034.59086811036,5
231,20038,129230.14086366606,6
232,69371,131277.05257720422,6
233,88323,56690.616471792375,2
234,36323,102731.54360799701,4
235,84042,260574.01444969152,5
236,98390,87964.84482049504,3
237,70738,57886.42764189279,3
238,65243,122898.24626934112,1
239,67185,141835.40785521377,2
240,90561,71603.0815493883,3
241,35238,152060.56322279116,1
242,74190,124339.88436103918,4
243,59399,134153.97078247715,2
244,19604,63202.04421820823,3
245,26987,85854.44701111544,3
246,58742,289953.68120902474,4
247,52079,170889.66011530548,2
248,58332,242832.21471941617,2
249,60818,196103.34022151853,2
250,87759,205144.6726438512,4
251,97639,121306.9669260824,5
252,15316,65701.6026746794,1
253,97419,108183.34258335529,1
254,61533,80111.91670092772,3
255,98860,178933.98828874802,4
256,94649,75016.11225235793,4
257,06161,107895.07727306617,2
258,72727,116746.05718404625,3
259,93855,193385.5673644828,2
260,63679,140121.82748706886,4
261,97181,128488.45951786789,4
262,00140,185058.80856361325,1
263,39878,79267.33726648288,2
264,44515,82472.94577631015,1
265,48487,281670.5846533727,3
266,97184,289409.83238441293,3
267,21023,140403.26740689896,3
268,21778,213763.4571384672,2
269,06046,163980.9400110407,2
270,21504,256731.5011076152,3
271,31138,109068.82945353113,2
272,31391,249574.08303011535,1
273,25728,205448.7202915653,2
274,67880,187082.41693131346,2
275,01424,128664.98884259319,6
276,22666,354566.04982269095,3
277,81354,246721.490981777,3
278,11983,181149.68487723093,5
279,20212,290705.9522132479,3
280,88932,94633.80571665273,3
281,45833,218969.46235981904,3
282,37792,115769.04999464127,1
283,56736,191337.392222745,4
284,74456,72282.25532998447,2
285,72584,105477.50930925588,2
286,92298,181395.00132749503,5
287,36655,148898.83116959716,4
288,55317,218352.6726944481,2
289,31118,180870.8565523482,5
290,59801,445672.5803613695,3
291,50809,117710.48109822202,1
292,07698,239756.15738980804,1
293,30955,76728.75866858143,1
294,28139,258206.58517867615,1
295,28317,372386.65594357526,4
296,82752,184621.27779542364,4
297,90752,155540.2065922363,2
298,53226,105593.42881122191,2
299,88685,73192.7619461323,4
300,39991,231009.4328502205,2
301,79101,136070.87648412818,1
302,62889,85820.80610974072,4
303,53951,621616.0183464284,5
304,12237,264677.43283136975,5
305,26362,149852.47662820376,2
306,51259,111838.51395271155,3
307,68989,107183.49659724775,3
308,96932,152846.7089807366,3
309,42617,60514.1207740425,2
310,98819,134896.0172827968,4
311,03949,253046.61419294195,2
312,50078,133953.64724800375,4
313,73818,148542.7575041231,4
314,11229,157282.62937344584,3
315,10328,79841.08893383009,2
316,81495,296350.2633426107,7
317,99400,371988.3746741298,6
318,34231,92342.91847316659,5
319,59042,56017.015817179636,3
320,51398,148010.6532525013,5
321,71766,135001.534156764,1
322,02250,304957.4717124144,4
323,24371,576999.7158150594,7
324,16236,137285.90755569265,2
325,63791,69614.59424277833,7
326,39501,111074.45584262385,6
327,75981,98222.76771507415,4
328,10139,148888.86889588574,2
329,76206,177819.7580367043,3
330,07403,153739.36739280188,1
331,56937,212302.84937316232,4
332,69221,79028.10728644508,1
333,59490,169014.91917651775,2
334,78550,93104.67323300404,4
335,13102,96361.08812196433,3
336,15957,84654.05055193146,2
337,31978,133818.8856535861,6
338,49455,157599.9592197239,3
339,37214,265452.7449822358,2
340,72976,109428.47481973832,4
341,15328,207035.1176731985,3
342,84689,248839.25289847143,3
343,87374,239381.6463117173,2
344,12944,150913.80183047554,5
345,54894,154500.33271344015,1
346,62395,88080.29413780158,2
347,23300,67535.35936238717,6
348,87038,169226.61114136394,2
349,14393,150318.88192776317,4
350,34681,179524.72919814716,4
351,53079,118062.6456845868,3
352,46063,175303.86828387794,2
353,71561,98054.94883130456,2
354,86975,125821.49341376426,3
355,51328,166918.6515620095,2
356,19650,195034.49630190214,3
357,17870,73432.65144328732,3
358,38844,255516.89739429962,3
359,76036,261734.24364249987,4
360,18712,74024.55831842258,2
361,95585,60150.78230689152,3
362,55935,106027.74011968188,3
363,88272,207132.80033220415,6
364,72688,82535.41874792564,5
365,26313,142160.72279010463,6
366,89968,60924.20021258345,4
367,12580,128285.60432584288,1
368,07779,74657.61980416263,1
369,38522,56108.58813278095,5
370,17569,152949.06324167206,1
371,94268,138261.90454397033,1
372,64450,127202.2539104924,1
373,91890,98612.39034684113,5
374,88522,174404.6725593693,2
375,63451,149918.07715569026,2
376,51213,81227.09413360694,3
377,89143,103404.86938426399,2
378,89835,211848.16214815673,2
379,60285,116851.0850906597,4
380,08468,201243.42358313577,3
381,27037,123619.14578859846,1
382,51905,404632.97685745143,3
383,21215,348316.43675672624,2
384,31259,157485.5479809043,2
385,30904,123966.34644247434,4
386,09961,200020.62939311602,2
387,38733,168937.777426419,3
388,94334,53725.95794887376,3
389,39298,75084.6715620198,3
390,18891,159404.15888598486,2
391,00303,196984.48118281647,5
392,08977,286870.04471178184,2
393,79826,141584.38402302153,3
394,28872,202533.5923195815,6
395,81526,157226.1200520506,3
396,33000,108407.02841125414,5
397,16733,83261.36150465113,2
398,07727,190356.78790982958,4
399,65680,68473.63405435851,4
400,84917,140564.57200073116,2
401,47269,111216.67739327208,5
402,13808,83862.95786875655,3
403,95584,88729.60898904296,5
404,08172,105306.44094102355,4
405,23991,105021.61864858783,1
406,16833,164248.4297755556,2
407,76717,100238.89436937438,6
408,51041,131727.94462770649,3
409,70026,49985.75381742448,2
410,91072,60485.557181311335,4
411,25018,70084.36456770304,4
412,55110,111914.86470361549,6
413,04450,98621.13807950217,3
414,45709,181566.50160505154,6
415,89565,153274.1061236433,1
416,69834,84965.20511399346,1
417,40781,74684.50956594039,1
418,36953,185259.1089228133,1
419,86527,92486.68983601745,2
420,90851,135457.29173394523,1
421,89742,80554.65338521657,1
422,73061,50201.87971035152,1
423,57443,106605.66631771195,3
424,24777,62330.09882777601,2
425,25750,128802.27131664894,2
426,37005,148710.6985682963,3
427,76939,224353.07990923407,1
428,77152,179832.8815396613,2
429,50179,82884.86603656605,4
430,97126,90398.72534420507,4
431,38962,172092.88659692922,3
432,78774,301874.9336503686,5
433,88565,184715.36720986824,3
434,65485,98906.0707605145,1
435,43378,125713.44365160307,2
436,64868,189135.98312952882,4
437,33101,362996.32155016426,4
438,03187,282986.6715516978,5
439,04047,79665.98359857002,5
440,80759,102201.97039556046,3
441,47097,123806.2272207024,1
442,25564,224701.7750441459,2
443,16595,265006.6246699165,5
444,00204,207908.58396723372,3
445,74436,74455.51329018184,2
446,70701,60115.84900946655,2
447,08114,120252.08988681129,8
448,32478,282182.49167761113,2
449,36270,153928.72797474163,2
450,30880,68357.01760242258,1
451,71907,101496.37349266924,7
452,39733,339617.2577272199,2
453,20155,65476.10534862891,4
454,54851,126726.24797151491,3
455,34696,117396.34265928535,7
456,15543,339114.630451022,1
457,07751,114924.84088051929,1
458,06593,142991.3315918907,5
459,18354,199364.79882887466,5
460,87312,139518.60583134054,6
461,11941,119097.37180393342,2
462,90058,83077.17117103389,2
463,69916,218844.30522509504,3
464,13992,67990.57394121053,2
465,57714,119941.9591943853,3
466,50997,104662.47111915496,1
467,23509,111892.30673229355,1
468,54266,381371.6965015694,5
469,36726,117977.55319381131,4
470,39870,143849.0262230146,4
471,35478,93131.1685428534,3
472,06792,101943.57166050622,4
473,52339,148787.64809993302,3
474,72135,85316.19080539969,1
475,64322,148669.2453878483,1
476,01159,160560.62322632511,8
477,87769,163945.77908382352,1
478,14333,108185.89165248963,4
479,41857,184828.72400918568,2
480,14936,163791.10909362513,3
481,10939,191065.45011948867,2
482,64500,145622.33226766656,2
483,20679,291009.2537792928,3
484,51912,73194.22055607344,2
485,30156,176115.4868965682,4
486,20082,152935.97930298242,3
487,69949,60211.23282172859,1
488,71415,225266.7442316426,3
489,66267,74743.08145107861,3
490,05571,34597.602976506554,4
491,67551,161044.47225617917,4
492,23921,149534.47172982225,3
493,71537,134228.43297900984,4
494,02146,372658.7070161339,2
495,11803,103494.15730315757,4
496,40515,123783.40968955068,1
497,71260,93720.61630735951,6
498,29808,245289.69032337103,4
499,84757,100844.73457510468,2
500,16273,310710.95536821266,6
501,95345,106025.08536266867,5
502,45794,422325.5552678364,3
503,15380,102233.4922347823,5
504,44258,340475.8577220457,5
505,32764,109607.23684031267,3
506,50937,69023.28565839377,3
507,12404,233610.44476953166,4
508,11308,90545.50888154884,4
509,79190,107825.18661838674,4
510,15185,88711.90597702279,3
511,83061,65948.00761695046,1
512,25844,221656.54519019305,3
513,79177,144544.7042254345,4
514,53249,85307.5552907976,5
515,34310,253524.30312072072,4
516,52147,182066.67126852326,2
517,14315,69351.17952946201,3
518,32638,105085.9023656558,3
519,10853,154309.87466078115,5
520,81216,208385.88806845897,3
521,97766,111119.68226933276,2
522,45409,213239.25475894322,3
523,58468,101033.27496113385,3
524,10636,125606.22205429977,7
525,46681,232748.2649384589,3
526,63113,60112.129319514715,3
527,88717,282088.1265017866,6
528,92343,76641.46657262147,4
529,23766,111480.5374426259,4
530,70132,156037.24399121242,6
531,22929,80607.00842363673,2
532,25619,145179.63396379637,1
533,13355,158772.7714983135,6
534,44574,208316.47717386385,2
535,64370,295861.26843386196,3
536,37694,121344.49567209193,3
537,74059,271630.7751608517,2
538,41559,92774.0739137083,4
539,30723,178443.6904017628,2
540,40927,61626.03765712678,3
541,22838,125248.61027177125,4
542,52100,163998.0175119567,2
543,51384,122276.85190901332,5
544,95572,58865.625904959204,5
545,18885,193538.92304368204,3
546,53840,249491.44770011437,5
547,04164,197381.98780411272,2
548,64630,137020.81065986239,2
549,57118,104023.44176488742,3
550,61560,205363.68245207213,1
551,08246,121157.59648126835,4
552,80921,47123.81891216025,3
553,83620,136774.87244642538,2
554,48709,185048.25384363596,3
555,86169,208931.8221234446,2
556,08391,187765.73343596703,3
557,50073,171923.54085421373,3
558,48294,168943.7548037798,2
559,35468,119460.58109836359,1
560,42039,120257.3231327627,3
561,04516,112829.6595753477,3
562,46333,101294.23855420279,3
563,02078,111789.11635673663,3
564,47468,97807.77998257158,6
565,77855,270958.710272217,2
566,40761,282382.3795997996,2
567,80034,155422.53493918703,2
568,03464,231261.91365038676,2
569,77834,148057.56485452625,2
570,94915,159230.82521375656,3
571,44574,339567.43932022824,3
572,35270,164820.18662897655,1
573,61249,90617.12755105252,3
574,38479,103016.38569044742,3
575,99612,60647.575918437426,1
576,42849,94668.07247507192,3
577,32589,256179.8512490406,3
578,20263,83522.89166102663,4
579,30290,66623.40434104757,3
580,82855,59781.122227999804,2
581,81919,94164.84928541214,2
582,24414,57554.59627503064,3
583,82048,113795.82311655735,7
584,56102,274100.0424421834,2
585,51014,50536.20481060844,3
586,02549,164961.3241370532,3
587,87982,121740.8604042384,4
588,42948,357288.63707139326,5
589,81406,97807.38118997384,3
590,87362,50353.41710798984,4
591,15737,221431.16627104647,3
592,86412,253098.06276858074,3
593,37337,357640.14811756066,2
594,74755,166535.5831935099,3
595,33539,208047.05271964858,4
596,71815,183815.52889435765,2
597,38461,259268.85154024893,1
598,16491,106677.81587130873,1
599,68814,93391.3448802802,3
600,25288,117464.79508972667,2
601,69766,208719.04222060612,2
602,10229,135980.03384901857,3
603,33882,200528.66787698568,2
604,84688,98623.43471870616,3
605,50883,82913.08926607242,3
606,98678,152050.74496064102,5
607,82417,226145.3149061543,4
608,32691,168212.47552825345,5
609,84954,64420.54283503348,4
610,09509,158651.8822498268,2
611,03971,48891.04963787716,1
612,84363,159131.42671537393,1
613,91118,301446.758509167,5
614,53646,230264.84106947816,3
615,41894,211104.7235532016,5
616,22407,141264.25271982793,3
617,58913,156513.24615542256,1
618,12476,127050.43690252883,7
619,02077,77063.79989023022,6
620,69996,131177.0252980916,3
621,35780,156310.89887113438,4
622,56240,172059.6742038798,2
623,25088,172395.67643938935,5
624,17694,95212.64741150285,2
625,93607,254788.62148195785,2
626,63257,103926.28196389011,3
627,81391,168896.78474931713,2
628,90813,198757.18932303,6
629,56913,71160.42910829536,2
630,76268,195540.9506483561,1
631,88308,106529.59218588709,3
632,03501,190850.70753601164,4
633,25088,105082.6126002564,2
634,13294,331253.6160984249,4
635,58496,62680.502062482454,4
636,55815,124637.3384955082,4
637,17517,26743.024732933394,4
638,94520,61231.25845768781,2
639,32149,209662.18920628095,4
640,81703,171123.4524637331,4
641,44504,227193.76615202235,7
642,32925,59622.900556764645,2
643,35109,110612.7105136704,3
644,52598,260370.00314738334,2
645,03687,152109.47188512416,2
646,81301,220987.35707877378,2
647,89711,83783.36084632977,4
648,65651,270717.10210566595,3
649,05458,150555.41494108012,6
650,70928,61069.156358880595,4
651,31160,142484.46600455954,2
652,88883,209179.63940219738,3
653,80422,144689.2909268778,2
654,06980,307942.2092963628,5
655,73461,158259.23028749163,3
656,66084,173023.47014608857,6
657,43380,237899.61405517673,3
658,97190,211088.26671611893,2
659,97543,154272.65554254662,2
660,61664,107418.7599469197,4
661,58786,295033.4971089331,4
662,17000,79726.22936070502,5
663,76238,75591.17697365412,3
664,04942,88495.96445148953,8
665,33166,123860.06844137836,3
666,31091,191885.77521197128,2
667,47990,192720.59772673642,4
668,35230,118251.55575062762,4
669,87904,99175.07999637218,2
670,98099,88144.95526461386,1
671,91228,114961.33568011863,4
672,56710,78720.55325333514,3
673,34481,100184.11138854627,4
674,28783,196077.516819159,3
675,29154,466799.8768110781,2
676,04883,117408.44661208449,2
677,80631,145858.04144309036,4
678,58342,217397.58240809295,1
679,18360,105288.17595844826,5
680,01277,177702.09213430324,2
681,53526,101888.34781991811,4
682,88649,71046.18825274758,2
683,19389,174501.2563595024,3
684,17841,180853.13956324747,5
685,84793,132410.15330587514,2
686,43768,77565.0130424223,4
687,12309,92445.23520929895,4
688,71613,235326.06726902688,5
689,46832,59136.35600591896,4
690,14930,197791.34115620685,1
691,43910,99872.19146372039,2
692,94861,122956.46562123991,4
693,07437,97459.1669481733,4
694,86002,52365.66083947172,4
695,30807,88716.02285941232,4
696,47939,123751.0137702025,3
697,75872,160834.6933803331,2
698,53381,194195.35655155173,1
699,85801,161139.23523318447,1
700,45017,195441.62259001797,5
701,12636,109864.06008949714,2
702,44613,190245.73235165127,3
703,94875,274156.98726249405,3
704,88054,145878.0130857951,2
705,50356,181574.89901615347,4
706,46440,83224.88503006219,2
707,23627,188659.8944607545,1
708,85684,203731.7429094178,4
709,76201,523520.8856144697,2
710,27175,97862.69859463126,3
711,64735,164533.5850895122,7
712,58176,184680.4307999067,3
713,94932,48671.91713669392,1
714,13284,104103.82101050037,3
715,95816,101553.55204714045,2
716,62922,154311.14373378252,5
717,50415,195034.2238292794,2
718,73812,344029.18197197927,3
719,37845,140735.85661412912,4
720,63926,94337.38211895367,3
721,19098,97571.21612029056,3
722,95402,116656.46865310679,3
723,30787,82783.95031762823,3
724,80435,132185.68865756984,4
725,68282,134275.27265519704,2
726,31280,119641.53678320229,5
727,36504,169918.5179319055,3
728,25923,109146.33426760267,4
729,31824,178759.24251241318,2
730,05111,257117.43289868932,6
731,62172,186928.86490119525,1
732,25689,139180.23856952693,5
733,00566,226599.42074277753,3
734,61639,183480.903245073,2
735,54915,81718.9543921853,5
736,70346,79475.41269361015,3
737,80350,158986.63958759035,3
738,78297,603275.2824518078,4
739,33042,157080.3987226931,2
740,74532,81910.8532416246,4
741,43224,87981.60678325644,2
742,60402,161188.84211727467,4
743,15820,66949.05676170017,5
744,41476,330706.89159600093,2
745,30616,81567.6042356378,1
746,05302,156293.76694162987,5
747,57064,125293.39445298053,2
748,80905,61959.992667216036,7
749,02272,90597.46843743848,1
750,17601,132838.66904822778,2
751,59099,113579.33914308684,2
752,76665,269561.26464833284,3
753,68109,58078.30734542025,2
754,53627,112369.33846258643,6
755,64928,186682.4620345604,1
756,23035,59982.88897149977,2
757,28705,134073.926505245,3
758,41569,138849.60615963643,1
759,99958,93659.24094157795,3
760,04638,176575.65875071945,3
761,71969,174937.699959382,2
762,65997,91072.68612269883,2
763,05649,302203.98356128373,4
764,87041,226011.61510470632,2
765,71753,94262.29453185268,4
766,62133,340692.1398331867,1
767,32589,152345.47330903995,2
768,64146,144966.1836562408,4
769,19611,238357.1570050879,2
770,55752,68649.7920372568,1
771,11946,200477.04291506746,4
772,38953,119726.00653352868,5
773,63354,311382.5722135143,6
774,24516,81482.19538355635,6
775,07810,155011.789185264,7
776,84954,164230.3613609066,2
777,85786,160940.6835740692,4
778,93313,107617.52385570988,4
779,96891,204478.82523534127,3
780,47394,238142.11343897725,5
781,94294,101698.99538488397,2
782,56885,127102.2739598818,3
783,55879,91821.64098948351,1
784,35518,86703.08953003524,3
785,33765,101119.40447368764,2
786,74946,129514.95049063402,2
787,63225,82013.01981159214,3
788,93923,92664.78739597433,3
789,82412,148454.48118291495,3
790,85767,290900.36143742024,4
791,44895,99823.07552477208,2
792,63562,190777.0622219149,2
793,59475,195441.62862801013,1
794,26391,96391.77045271285,3
795,46453,154537.78718290286,2
796,00139,179292.59287712854,4
797,09805,86922.2734500574,4
798,67183,204991.5867695216,1
799,47437,122841.96059797007,4
800,28786,196889.70600810525,2
801,06821,98459.7769795729,5
802,69755,134536.2933405517,2
803,31814,116853.68676763603,6
804,98985,79745.56127237248,1
805,01338,194001.0886505661,2
806,29783,163108.06986257317,2
807,16876,173034.28931750442,3
808,09428,74279.58514296045,1
809,84262,211933.9023289917,6
810,92613,114240.29976874213,1
811,78820,134980.6074563009,2
812,45279,129880.63709784985,3
813,37161,177744.24407701616,5
814,53118,133882.37647495558,3
815,83044,201427.08237622114,2
816,83751,89307.89121654595,1
817,36826,145713.31346307482,3
818,75436,203736.5986601566,2
819,41705,102269.79183525709,3
820,84390,128402.43377532043,2
821,93460,266116.43955374433,3
822,00589,56591.494564492095,4
823,00902,320135.20513194735,2
824,93841,111019.03031289439,5
825,14548,65698.19587352441,3
826,10553,77228.88951661228,3
827,72272,174047.81107814447,1
828,80683,113958.2581563219,2
829,08011,67821.52216593112,3
830,28837,204524.12926615195,2
831,56786,107370.29187666815,4
832,07457,105362.63001157803,5
833,89943,214488.11217084774,1
834,15042,180317.5969563567,4
835,44164,105483.68304218347,3
836,89617,103835.18751685604,2
837,29059,64082.25127824997,3
838,03016,93332.3615230341,2
839,00029,110074.68940132704,2
840,01027,546174.7259399025,1
841,94329,128054.34448932909,3
842,52354,160114.29871713166,2
843,54595,370530.9699030306,3
844,61681,136835.93577364288,5
845,40977,166332.327369326,3
846,14858,133698.91496756632,1
847,95669,85528.84437620625,4
848,11874,213708.98144715306,3
849,23481,105526.8968387852,2
850,35870,193830.54037220057,3
851,50616,126748.84447793596,2
852,46482,46764.095601624234,3
853,40646,54711.83994034987,6
854,92378,495332.84516709304,2
855,03814,129520.04788481686,1
856,86203,178431.03219341682,2
857,63704,151695.29573134906,4
858,31588,80499.90987281952,4
859,61270,209957.07844620818,4
860,87429,110807.3210581205,2
861,37097,72052.0746064215,6
862,46376,233021.78121935888,3
863,45569,66969.17136059164,4
864,16599,129871.9102147476,2
865,60390,81692.17420640042,2
866,74486,125869.43062404467,5
867,68406,362120.93357201153,3
868,29132,228416.3139396265,3
869,11278,230755.81961008764,4
870,29457,115590.19008389719,1
871,49601,169446.98852175355,3
872,78709,85577.3818559999,2
873,53110,414653.20994103205,4
874,39389,111205.83444570775,3
875,28857,175264.2545294959,3
876,22487,83136.0013055908,2
877,85437,223623.08542432118,1
878,82865,132920.8648039458,4
879,51697,396676.85602554085,3
880,68475,132353.19013948916,4
881,44718,159816.6365418574,2
882,31848,77032.56480609138,7
883,57306,85888.63433540637,3
884,68931,44032.82059969265,3
885,37464,164302.54466618734,3
886,10657,158638.13509759167,4
887,97242,179250.87593240113,4
888,15457,87384.79001512843,3
889,58521,231873.19430443158,3
890,37700,80136.84416056516,3
891,04894,68223.79511046766,3
892,20308,66101.92305832244,4
893,76975,253806.44721148224,3
894,32429,152022.60795530878,2
895,14398,83237.78981946669,1
896,11437,86464.2651909055,2
897,69950,115529.30631103624,4
898,07423,92461.96299421691,2
899,35907,159623.8918281991,4
900,53935,186250.67136181163,5
901,88635,91399.56655884469,5
902,18535,141163.73829463657,5
903,43567,87189.05016124049,3
904,17675,258718.22539184778,2
905,23622,126238.1916351742,1
906,85643,351874.9068842136,3
907,28814,187219.1576801588,1
908,63624,103072.83392838987,2
909,03759,212778.16948456588,3
910,54903,153067.17576522776,2
911,55271,180874.23402899585,4
912,84068,103838.23166862642,3
913,93776,132431.0817949313,3
914,11203,201828.53429770542,4
915,78222,88570.55919097559,4
916,48069,185878.1601562164,5
917,43751,136360.0215835355,3
918,08042,35408.55520749476,3
919,69471,311842.0949430073,2
920,29414,82130.65721756348,2
921,00425,62150.42030618597,3
922,88934,267992.17428966,2
923,62377,65024.9674844806,1
924,96024,67759.76285882147,4
925,00905,145725.2225806031,2
926,45841,272239.37455748837,2
927,56490,166337.31594950694,5
928,21671,109998.14587649614,3
929,08331,129711.78537323738,1
930,11872,120140.19990419367,2
931,16283,128600.62443206526,3
