# https://github.com/nytimes/covid-19-data
# Retrieved on 3/2/2021
date,cases,deaths
2020-08-19,43013,1295
2020-08-20,46029,1043
2020-08-21,49029,1161
2020-08-22,45026,950
2020-08-23,32333,446
2020-08-24,40404,504
2020-08-25,39183,1213
2020-08-26,45319,1193
2020-08-27,45610,1126
2020-08-28,46564,1010
2020-08-29,44610,871
2020-08-30,33430,374
2020-08-31,36485,488
2020-09-01,44049,1091
2020-09-02,32444,1076
2020-09-03,46394,1078
2020-09-04,52104,980
2020-09-05,42254,712
2020-09-06,29999,411
2020-09-07,25166,263
2020-09-08,28941,458
2020-09-09,33332,1175
2020-09-10,38060,915
2020-09-11,47568,1227
2020-09-12,39104,701
2020-09-13,33343,399
2020-09-14,36887,450
2020-09-15,39217,1281
2020-09-16,39268,997
2020-09-17,45310,849
2020-09-18,48887,949
2020-09-19,41811,670
2020-09-20,36356,213
2020-09-21,54950,430
2020-09-22,37391,941
2020-09-23,41551,1090
2020-09-24,45202,885
2020-09-25,54581,853
2020-09-26,42697,769
2020-09-27,37298,267
2020-09-28,37360,350
2020-09-29,43697,926
2020-09-30,42058,974
2020-10-01,46418,847
2020-10-02,53580,865
2020-10-03,47779,709
2020-10-04,35063,333
2020-10-05,62412,429
2020-10-06,42862,721
2020-10-07,53017,996
2020-10-08,56383,928
2020-10-09,58962,915
2020-10-10,51648,592
2020-10-11,4,419
2020-10-12,48016,351
2020-10-13,54394,826
2020-10-14,59853,1009
2020-10-15,65353,793
2020-10-16,70463,891
2020-10-17,52761,678
2020-10-18,47882,387
2020-10-19,65440,517
2020-10-20,60594,929
2020-10-21,64237,1208
2020-10-22,75128,828
2020-10-23,85297,930
2020-10-24,78581,872
2020-10-25,59715,339
2020-10-26,74631,537
2020-10-27,74387,983
2020-10-28,81885,1018
2020-10-29,90657,1004
2020-10-30,99868,968
2020-10-31,84210,838
2020-11-01,74195,428
2020-11-02,94013,540
2020-11-03,92416,1130
2020-11-04,108080,1616
2020-11-05,121333,1108
2020-11-06,132823,1248
2020-11-07,125932,1007
2020-11-08,103416,464
2020-11-09,130441,745
2020-11-10,139750,1464
2020-11-11,142885,1431
2020-11-12,163640,1172
2020-11-13,181497,1390
2020-11-14,159033,1210
2020-11-15,135187,623
2020-11-16,166560,796
2020-11-17,161639,1607
2020-11-18,172283,1924
2020-11-19,187515,1961
2020-11-20,198881,1957
2020-11-21,171945,1425
2020-11-22,140838,843
2020-11-23,179733,1038
2020-11-24,177903,2209
2020-11-25,180672,2313
2020-11-26,102893,1178
2020-11-27,205886,1412
2020-11-28,151146,1192
2020-11-29,136372,818
2020-11-30,167839,1270
2020-12-01,184260,2608
2020-12-02,201211,2886
2020-12-03,217763,2856
2020-12-04,231387,2637
2020-12-05,205673,2190
2020-12-06,172108,1111
2020-12-07,204292,1534
2020-12-08,219881,2821
2020-12-09,219736,3156
2020-12-10,225221,2941
2020-12-11,280567,2955
2020-12-12,207429,2255
2020-12-13,184224,1357
2020-12-14,6,1678
2020-12-15,202971,3025
2020-12-16,245042,3611
2020-12-17,238427,3298
2020-12-18,251223,2870
2020-12-19,193919,2561
2020-12-20,179946,1429
2020-12-21,201613,1963
2020-12-22,201660,3239
2020-12-23,227788,3412
2020-12-24,193548,2824
2020-12-25,100973,1129
2020-12-26,216856,1646
2020-12-27,152093,1230
2020-12-28,189066,1899
2020-12-29,201092,3628
2020-12-30,229023,3808
2020-12-31,231035,3462
2021-01-01,147260,1920
2021-01-02,291382,2373
2021-01-03,201967,1351
2021-01-04,251962,2049
2021-01-05,235027,3689
2021-01-06,255760,3964
2021-01-07,280278,4111
2021-01-08,300619,3895
2021-01-09,252129,3261
2021-01-10,208336,1777
2021-01-11,222944,2048
2021-01-12,229695,4406
2021-01-13,229318,3930
2021-01-14,238599,3980
2021-01-15,240935,3749
2021-01-16,201659,3341
2021-01-17,169622,1730
2021-01-18,142647,1441
2021-01-19,185070,2771
2021-01-20,186916,4380
2021-01-21,190134,4135
2021-01-22,191742,3731
2021-01-23,167943,3322
2021-01-24,22,1815
2021-01-25,155705,1907
2021-01-26,151617,4097
2021-01-27,155639,4103
2021-01-28,165250,3868
2021-01-29,165664,3600
2021-01-30,133905,2641
2021-01-31,113511,1864
2021-02-01,139851,1950
2021-02-02,117903,3611
2021-02-03,120039,3843
2021-02-04,125837,5117
2021-02-05,129574,3570
2021-02-06,105025,2662
2021-02-07,87329,1301
2021-02-08,92780,1583
2021-02-09,96480,3170
2021-02-10,94917,3254
2021-02-11,105599,3878
2021-02-12,99558,5463
2021-02-13,84727,3373
2021-02-14,63850,1080
2021-02-15,55372,994
2021-02-16,64376,1707
2021-02-17,70176,2471
2021-02-18,71874,2625
2021-02-19,78035,2621
2021-02-20,69723,1831
2021-02-21,55195,1247
2021-02-22,59462,1454
2021-02-23,71802,2328
2021-02-24,74130,3210
2021-02-25,77804,2465
2021-02-26,78262,2176
2021-02-27,62694,1567
2021-02-28,50925,1129
