"Time","Exchange Rates International United States Canada Dollar  - Rate"
198504,0.7315
198503,0.7313
198502,0.7228
198501,0.7535
198412,0.7566
198411,0.7552
198410,0.7605
198409,0.7586
198408,0.7708
198407,0.7625
198406,0.7576
198405,0.7724
198404,0.7785
198403,0.7833
198402,0.7988
198401,0.8004
198312,0.8035
198311,0.8070
198310,0.8113
198309,0.8110
198308,0.8104
198307,0.8104
198306,0.8146
198305,0.8130
198304,0.8155
198303,0.8103
198302,0.8137
198301,0.8086
198212,0.8132
198211,0.8082
198210,0.8156
198209,0.8089
198208,0.8070
198207,0.7964
198206,0.7735
198205,0.8039
198204,0.8199
198203,0.8127
198202,0.8137
198201,0.8356
198112,0.8430
198111,0.8499
198110,0.8313
198109,0.8286
198108,0.8319
198107,0.8104
198106,0.8329
198105,0.8308
198104,0.8360
198103,0.8422
198102,0.8324
198101,0.8373
198012,0.8372
198011,0.8404
198010,0.8508
198009,0.8543
198008,0.8639
198007,0.8607
198006,0.8687
198005,0.8630
198004,0.8417
198003,0.8393
198002,0.8734
198001,0.8632
197912,0.8559
197911,0.8543
197910,0.8442
197909,0.8616
197908,0.8574
197907,0.8549
197906,0.8562
197905,0.8615
197904,0.8755
197903,0.8616
197902,0.8377
197901,0.8331
197812,0.8427
197811,0.8534
197810,0.8568
197809,0.8449
197808,0.8686
197807,0.8838
197806,0.8891
197805,0.8904
197804,0.8840
197803,0.8832
197802,0.8969
197801,0.9027
197712,0.9136
197711,0.9027
197710,0.9023
197709,0.9314
197708,0.9304
197707,0.9355
197706,0.9435
197705,0.9512
197704,0.9546
197703,0.9460
197702,0.9556
197701,0.9804
197612,0.9907
197611,0.9658
197610,1.0286
197609,1.0275
197608,1.0188
197607,1.0254
197606,1.0322
197605,1.0204
197604,1.0216
197603,1.0160
197602,1.0154
197601,0.9989
197512,0.9835
197511,0.9893
197510,0.9828
197509,0.9754
197508,0.9686
197507,0.9692
197506,0.9703
197505,0.9777
197504,0.9810
197503,0.9965
197502,1.0018
197501,1.0005
197412,1.0087
197411,1.0128
197410,1.0156
197409,1.0143
197408,1.0125
197407,1.0212
197406,1.0285
197405,1.0393
197404,1.0410
197403,1.0280
197402,1.0325
197401,1.0119
197312,1.0040
197311,0.9998
197310,1.0010
197309,0.9942
197308,0.9944
197307,0.9985
197306,1.0015
197305,1.0049
197304,0.9968
197303,1.0009
197302,1.0058
197301,0.9991
197212,1.0044
197211,1.0055
197210,1.0171
197209,1.0168
197208,1.0171
197207,1.0169
197206,1.0146
197205,1.0192
197204,1.0077
197203,1.0023
197202,0.9988
197201,0.9944
197112,0.9976
197111,0.9964
197110,0.9964
197109,0.9908
197108,0.9860
197107,0.9815
197106,0.9770
197105,0.9900
197104,0.9910
197103,0.9920
197102,0.9930
197101,0.9921
