"Time","Dow Jones Industrial Average (US) - Close International  - Close  - $"
"20181126",24640.240
"20181123",24285.950
"20181121",24464.690
"20181120",24465.640
"20181119",25017.440
"20181116",25413.220
"20181115",25289.270
"20181114",25080.500
"20181113",25286.490
"20181112",25387.180
"20181109",25989.300
"20181108",26191.220
"20181107",26180.300
"20181106",25635.010
"20181105",25461.700
"20181102",25270.830
"20181101",25380.740
"20181031",25115.760
"20181030",24874.640
"20181029",24442.920
"20181026",24688.310
"20181025",24984.550
"20181024",24583.420
"20181023",25191.430
"20181022",25317.410
"20181019",25444.340
"20181018",25379.450
"20181017",25706.680
"20181016",25798.420
"20181015",25250.550
"20181012",25339.990
"20181011",25052.830
"20181010",25598.740
"20181009",26430.570
"20181008",26486.780
"20181005",26447.050
"20181004",26627.480
"20181003",26828.390
"20181002",26773.940
"20181001",26651.210
"20180928",26458.310
"20180927",26439.930
"20180926",26385.280
"20180925",26492.210
"20180924",26562.050
"20180921",26743.500
"20180920",26656.980
"20180919",26405.760
"20180918",26246.960
"20180917",26062.120
"20180914",26154.670
"20180913",26145.990
"20180912",25998.920
"20180911",25971.060
"20180910",25857.070
"20180907",25916.540
"20180906",25995.870
"20180905",25974.990
"20180904",25952.480
"20180831",25964.820
"20180830",25986.920
"20180829",26124.570
"20180828",26064.020
"20180827",26049.640
"20180824",25790.350
"20180823",25656.980
"20180822",25733.600
"20180821",25822.290
"20180820",25758.690
"20180817",25669.320
"20180816",25558.730
"20180815",25162.410
"20180814",25299.920
"20180813",25187.700
"20180810",25313.140
"20180809",25509.230
"20180808",25583.750
"20180807",25628.910
"20180806",25502.180
"20180803",25462.580
"20180802",25326.160
"20180801",25333.820
"20180731",25415.190
"20180730",25306.830
"20180727",25451.060
"20180726",25527.070
"20180725",25414.100
"20180724",25241.940
"20180723",25044.290
"20180720",25058.120
"20180719",25064.500
"20180718",25199.290
"20180717",25119.890
"20180716",25064.360
"20180713",25019.410
"20180712",24924.890
"20180711",24700.450
"20180710",24919.660
"20180709",24776.590
"20180706",24456.480
"20180705",24356.740
"20180703",24174.820
"20180702",24307.180
"20180629",24271.410
"20180628",24216.050
"20180627",24117.590
"20180626",24283.110
"20180625",24252.800
"20180622",24580.890
"20180621",24461.700
"20180620",24657.800
"20180619",24700.210
"20180618",24987.470
"20180615",25090.480
"20180614",25175.310
"20180613",25201.200
"20180612",25320.730
"20180611",25322.310
"20180608",25316.530
"20180607",25241.410
"20180606",25146.390
"20180605",24799.980
"20180604",24813.690
"20180601",24635.210
"20180531",24415.840
"20180530",24667.780
"20180529",24361.450
"20180525",24753.090
"20180524",24811.760
"20180523",24886.810
"20180522",24834.410
"20180521",25013.290
"20180518",24715.090
"20180517",24713.980
"20180516",24768.930
"20180515",24706.410
"20180514",24899.410
"20180511",24831.170
"20180510",24739.530
"20180509",24542.540
"20180508",24360.210
"20180507",24357.320
"20180504",24262.510
"20180503",23930.150
"20180502",23924.980
"20180501",24099.050
"20180430",24163.150
"20180427",24311.190
"20180426",24322.340
"20180425",24083.830
"20180424",24024.130
"20180423",24448.690
"20180420",24462.940
"20180419",24664.890
"20180418",24748.070
"20180417",24786.630
"20180416",24573.040
"20180413",24360.140
"20180412",24483.050
"20180411",24189.450
"20180410",24408.000
"20180409",23979.100
"20180406",23932.760
"20180405",24505.220
"20180404",24264.300
"20180403",24033.360
"20180402",23644.190
"20180329",24103.110
"20180328",23848.420
"20180327",23857.710
"20180326",24202.600
"20180323",23533.200
"20180322",23957.890
"20180321",24682.310
"20180320",24727.270
"20180319",24610.910
"20180316",24946.510
"20180315",24873.660
"20180314",24758.120
"20180313",25007.030
"20180312",25178.610
"20180309",25335.740
"20180308",24895.210
"20180307",24801.360
"20180306",24884.120
"20180305",24874.760
"20180302",24538.060
"20180301",24608.980
"20180228",25029.200
"20180227",25410.030
"20180226",25709.270
"20180223",25309.990
"20180222",24962.480
"20180221",24797.780
"20180220",24964.750
"20180216",25219.380
"20180215",25200.370
"20180214",24893.490
"20180213",24640.450
"20180212",24601.270
"20180209",24190.900
"20180208",23860.460
"20180207",24893.350
"20180206",24912.770
"20180205",24345.750
"20180202",25520.960
"20180201",26186.710
"20180131",26149.390
"20180130",26076.890
"20180129",26439.480
"20180126",26616.710
"20180125",26392.790
"20180124",26252.120
"20180123",26210.810
"20180122",26214.600
"20180119",26071.720
"20180118",26017.810
"20180117",26115.650
"20180116",25792.860
"20180112",25803.190
"20180111",25574.730
"20180110",25369.130
"20180109",25385.800
"20180108",25283.000
"20180105",25295.870
"20180104",25075.130
"20180103",24922.680
"20180102",24824.010
"20171229",24719.220
"20171228",24837.510
"20171227",24774.300
"20171226",24746.210
"20171222",24754.060
"20171221",24782.290
"20171220",24726.650
"20171219",24754.750
"20171218",24792.200
"20171215",24651.740
"20171214",24508.660
"20171213",24585.430
"20171212",24504.800
"20171211",24386.030
"20171208",24329.160
"20171207",24211.480
"20171206",24140.910
"20171205",24180.640
"20171204",24290.050
"20171201",24231.590
"20171130",24272.350
"20171129",23940.680
"20171128",23836.710
"20171127",23580.780
"20171124",23557.990
"20171122",23526.180
"20171121",23590.830
"20171120",23430.330
"20171117",23358.240
"20171116",23458.360
"20171115",23271.280
"20171114",23409.470
"20171113",23439.700
"20171110",23422.210
"20171109",23461.940
"20171108",23563.360
"20171107",23557.230
"20171106",23548.420
"20171103",23539.190
"20171102",23516.260
"20171101",23435.010
"20171031",23377.240
"20171030",23348.740
"20171027",23434.190
"20171026",23400.860
"20171025",23329.460
"20171024",23441.760
"20171023",23273.960
"20171020",23328.630
"20171019",23163.040
"20171018",23157.600
"20171017",22997.440
"20171016",22956.960
"20171013",22871.720
"20171012",22841.010
"20171011",22872.890
"20171010",22830.680
"20171009",22761.070
"20171006",22773.670
"20171005",22775.390
"20171004",22661.640
"20171003",22641.670
"20171002",22557.600
"20170929",22405.090
"20170928",22381.200
"20170927",22340.710
"20170926",22284.320
"20170925",22296.090
"20170922",22349.590
"20170921",22359.230
"20170920",22412.590
"20170919",22370.800
"20170918",22331.350
"20170915",22268.340
"20170914",22203.480
"20170913",22158.180
"20170912",22118.860
"20170911",22057.370
"20170908",21797.790
"20170907",21784.780
"20170906",21807.640
"20170905",21753.310
"20170901",21987.560
"20170831",21948.100
"20170830",21892.430
"20170829",21865.370
"20170828",21808.400
"20170825",21813.670
"20170824",21783.400
"20170823",21812.090
"20170822",21899.890
"20170821",21703.750
"20170818",21674.510
"20170817",21750.730
"20170816",22024.870
"20170815",21998.990
"20170814",21993.710
"20170811",21858.320
"20170810",21844.010
"20170809",22048.700
"20170808",22085.340
"20170807",22118.420
"20170804",22092.810
"20170803",22026.100
"20170802",22016.240
"20170801",21963.920
"20170731",21891.120
"20170728",21830.310
"20170727",21796.550
"20170726",21711.010
"20170725",21613.430
"20170724",21513.170
"20170721",21580.070
"20170720",21611.780
"20170719",21640.750
"20170718",21574.730
"20170717",21629.720
"20170714",21637.740
"20170713",21553.090
"20170712",21532.140
"20170711",21409.070
"20170710",21408.520
"20170707",21414.340
"20170706",21320.040
"20170705",21478.170
"20170703",21479.270
"20170630",21349.630
"20170629",21287.030
"20170628",21454.610
"20170627",21310.660
"20170626",21409.550
"20170623",21394.760
"20170622",21397.290
"20170621",21410.030
"20170620",21467.140
"20170619",21528.990
"20170616",21384.280
"20170615",21359.900
"20170614",21374.560
"20170613",21328.470
"20170612",21235.670
"20170609",21271.970
"20170608",21182.530
"20170607",21173.690
"20170606",21136.230
"20170605",21184.040
"20170602",21206.290
"20170601",21144.180
"20170531",21008.650
"20170530",21029.470
"20170526",21080.280
"20170525",21082.950
"20170524",21012.420
"20170523",20937.910
"20170522",20894.830
"20170519",20804.840
"20170518",20663.020
"20170517",20606.930
"20170516",20979.750
"20170515",20981.940
"20170512",20896.610
"20170511",20919.420
"20170510",20943.110
"20170509",20975.780
"20170508",21012.280
"20170505",21006.940
"20170504",20951.470
"20170503",20957.900
"20170502",20949.890
"20170501",20913.460
"20170428",20940.510
"20170427",20981.330
"20170426",20975.090
"20170425",20996.120
"20170424",20763.890
"20170421",20547.760
"20170420",20578.710
"20170419",20404.490
"20170418",20523.280
"20170417",20636.920
"20170413",20453.250
"20170412",20591.860
"20170411",20651.300
"20170410",20658.020
"20170407",20656.100
"20170406",20662.950
"20170405",20648.150
"20170404",20689.240
"20170403",20650.210
"20170331",20663.220
"20170330",20728.490
"20170329",20659.320
"20170328",20701.500
"20170327",20550.980
"20170324",20596.720
"20170323",20656.580
"20170322",20661.300
"20170321",20668.010
"20170320",20905.860
"20170317",20914.620
"20170316",20934.550
"20170315",20950.100
"20170314",20837.370
"20170313",20881.480
"20170310",20902.980
"20170309",20858.190
"20170308",20855.730
"20170307",20924.760
"20170306",20954.340
"20170303",21005.710
"20170302",21002.970
"20170301",21115.550
"20170228",20812.240
"20170227",20837.440
"20170224",20821.760
"20170223",20810.320
"20170222",20775.600
"20170221",20743.000
"20170217",20624.050
"20170216",20619.770
"20170215",20611.860
"20170214",20504.410
"20170213",20412.160
"20170210",20269.370
"20170209",20172.400
"20170208",20054.340
"20170207",20090.290
"20170206",20052.420
"20170203",20071.460
"20170202",19884.910
"20170201",19890.940
"20170131",19864.090
"20170130",19971.130
"20170127",20093.780
"20170126",20100.910
"20170125",20068.510
"20170124",19912.710
"20170123",19799.850
"20170120",19827.250
"20170119",19732.400
"20170118",19804.720
"20170117",19826.770
"20170113",19885.730
"20170112",19891.000
"20170111",19954.280
"20170110",19855.530
"20170109",19887.380
"20170106",19963.800
"20170105",19899.290
"20170104",19942.160
"20170103",19881.760
"20161230",19762.600
"20161229",19819.780
"20161228",19833.680
"20161227",19945.040
"20161223",19933.810
"20161222",19918.880
"20161221",19941.960
"20161220",19974.620
"20161219",19883.060
"20161216",19843.410
"20161215",19852.240
"20161214",19792.530
"20161213",19911.210
"20161212",19796.430
"20161209",19756.850
"20161208",19614.810
"20161207",19549.620
"20161206",19251.780
"20161205",19216.240
"20161202",19170.420
"20161201",19191.930
"20161130",19123.580
"20161129",19121.600
"20161128",19097.900
"20161125",19152.140
"20161123",19083.180
"20161122",19023.870
"20161121",18956.690
"20161118",18867.930
"20161117",18903.820
"20161116",18868.140
"20161115",18923.060
"20161114",18868.690
"20161111",18847.660
"20161110",18807.880
"20161109",18589.690
"20161108",18332.740
"20161107",18259.600
"20161104",17888.280
"20161103",17930.670
"20161102",17959.640
"20161101",18037.100
"20161031",18142.420
"20161028",18161.190
"20161027",18169.680
"20161026",18199.330
"20161025",18169.270
"20161024",18223.030
"20161021",18145.710
"20161020",18162.350
"20161019",18202.620
"20161018",18161.940
"20161017",18086.400
"20161014",18138.380
"20161013",18098.940
"20161012",18144.200
"20161011",18128.660
"20161010",18329.040
"20161007",18240.490
"20161006",18268.500
"20161005",18281.030
"20161004",18168.450
"20161003",18253.850
"20160930",18308.150
"20160929",18143.450
"20160928",18339.240
"20160927",18228.300
"20160926",18094.830
"20160923",18261.450
"20160922",18392.460
"20160921",18293.700
"20160920",18129.960
"20160919",18120.170
"20160916",18123.800
"20160915",18212.480
"20160914",18034.770
"20160913",18066.750
"20160912",18325.070
"20160909",18085.450
"20160908",18479.910
"20160907",18526.140
"20160906",18538.120
"20160902",18491.960
"20160901",18419.300
"20160831",18400.880
"20160830",18454.300
"20160829",18502.990
"20160826",18395.400
"20160825",18448.410
"20160824",18481.480
"20160823",18547.300
"20160822",18529.420
"20160819",18552.570
"20160818",18597.700
"20160817",18573.940
"20160816",18552.020
"20160815",18636.050
"20160812",18576.470
"20160811",18613.520
"20160810",18495.660
"20160809",18533.050
"20160808",18529.290
"20160805",18543.530
"20160804",18352.050
"20160803",18355.000
"20160802",18313.770
"20160801",18404.510
"20160729",18432.240
"20160728",18456.350
"20160727",18472.170
"20160726",18473.750
"20160725",18493.060
"20160722",18570.850
"20160721",18517.230
"20160720",18595.030
"20160719",18559.010
"20160718",18533.050
"20160715",18516.550
"20160714",18506.410
"20160713",18372.120
"20160712",18347.670
"20160711",18226.930
"20160708",18146.740
"20160707",17895.880
"20160706",17918.620
"20160705",17840.620
"20160701",17949.370
"20160630",17929.990
"20160629",17694.680
"20160628",17409.720
"20160627",17140.240
"20160624",17400.750
"20160623",18011.070
"20160622",17780.830
"20160621",17829.730
"20160620",17804.870
"20160617",17675.160
"20160616",17733.100
"20160615",17640.170
"20160614",17674.820
"20160613",17732.480
"20160610",17865.340
"20160609",17985.190
"20160608",18005.050
"20160607",17938.280
"20160606",17920.330
"20160603",17807.060
"20160602",17838.560
"20160601",17789.670
"20160531",17787.200
"20160527",17873.220
"20160526",17828.290
"20160525",17851.510
"20160524",17706.050
"20160523",17492.930
"20160520",17500.940
"20160519",17435.400
"20160518",17526.620
"20160517",17529.980
"20160516",17710.710
"20160513",17535.320
"20160512",17720.500
"20160511",17711.120
"20160510",17928.350
"20160509",17705.910
"20160506",17740.630
"20160505",17660.710
"20160504",17651.260
"20160503",17750.910
"20160502",17891.160
"20160429",17773.640
"20160428",17830.760
"20160427",18041.550
"20160426",17990.320
"20160425",17977.240
"20160422",18003.750
"20160421",17982.520
"20160420",18096.270
"20160419",18053.600
"20160418",18004.160
"20160415",17897.460
"20160414",17926.430
"20160413",17908.280
"20160412",17721.250
"20160411",17556.410
"20160408",17576.960
"20160407",17541.960
"20160406",17716.050
"20160405",17603.320
"20160404",17737.000
"20160401",17792.750
"20160331",17685.090
"20160330",17716.660
"20160329",17633.110
"20160328",17535.390
"20160324",17515.730
"20160323",17502.590
"20160322",17582.570
"20160321",17623.870
"20160318",17602.300
"20160317",17481.490
"20160316",17325.760
"20160315",17251.530
"20160314",17229.130
"20160311",17213.310
"20160310",16995.130
"20160309",17000.360
"20160308",16964.100
"20160307",17073.950
"20160304",17006.770
"20160303",16943.900
"20160302",16899.320
"20160301",16865.080
"20160229",16516.500
"20160226",16639.970
"20160225",16697.290
"20160224",16484.990
"20160223",16431.780
"20160222",16620.660
"20160219",16391.990
"20160218",16413.430
"20160217",16453.830
"20160216",16196.410
"20160212",15973.840
"20160211",15660.180
"20160210",15914.740
"20160209",16014.380
"20160208",16027.050
"20160205",16204.970
"20160204",16416.580
"20160203",16336.660
"20160202",16153.540
"20160201",16449.180
"20160129",16466.300
"20160128",16069.640
"20160127",15944.460
"20160126",16167.230
"20160125",15885.220
"20160122",16093.510
"20160121",15882.680
"20160120",15766.740
"20160119",16016.020
"20160115",15988.080
"20160114",16379.050
"20160113",16151.410
"20160112",16516.220
"20160111",16398.570
"20160108",16346.450
"20160107",16514.100
"20160106",16906.510
"20160105",17158.660
"20160104",17148.940
"20151231",17425.030
"20151230",17603.870
"20151229",17720.980
"20151228",17528.270
"20151224",17552.170
"20151223",17602.610
"20151222",17417.270
"20151221",17251.620
"20151218",17128.550
"20151217",17495.840
"20151216",17749.090
"20151215",17524.910
"20151214",17368.500
"20151211",17265.210
"20151210",17574.750
"20151209",17492.300
"20151208",17568.000
"20151207",17730.510
"20151204",17847.630
"20151203",17477.670
"20151202",17729.680
"20151201",17888.350
"20151130",17719.920
"20151127",17798.490
"20151125",17813.390
"20151124",17812.190
"20151123",17792.680
"20151120",17823.810
"20151119",17732.750
"20151118",17737.160
"20151117",17489.500
"20151116",17483.010
"20151113",17245.240
"20151112",17448.070
"20151111",17702.220
"20151110",17758.210
"20151109",17730.480
"20151106",17910.330
"20151105",17863.430
"20151104",17867.580
"20151103",17918.150
"20151102",17828.760
"20151030",17663.540
"20151029",17755.800
"20151028",17779.520
"20151027",17581.430
"20151026",17623.050
"20151023",17646.700
"20151022",17489.160
"20151021",17168.610
"20151020",17217.110
"20151019",17230.540
"20151016",17215.970
"20151015",17141.750
"20151014",16924.750
"20151013",17081.890
"20151012",17131.860
"20151009",17084.490
"20151008",17050.750
"20151007",16912.290
"20151006",16790.190
"20151005",16776.430
"20151002",16472.370
"20151001",16272.010
"20150930",16284.700
"20150929",16049.130
"20150928",16001.890
"20150925",16314.670
"20150924",16201.320
"20150923",16279.890
"20150922",16330.470
"20150921",16510.190
"20150918",16384.580
"20150917",16674.740
"20150916",16739.950
"20150915",16599.850
"20150914",16370.960
"20150911",16433.090
"20150910",16330.400
"20150909",16253.570
"20150908",16492.680
"20150904",16102.380
"20150903",16374.760
"20150902",16351.380
"20150901",16058.350
"20150831",16528.030
"20150828",16643.010
"20150827",16654.770
"20150826",16285.510
"20150825",15666.440
"20150824",15871.350
"20150821",16459.750
"20150820",16990.690
"20150819",17348.730
"20150818",17511.340
"20150817",17545.180
"20150814",17477.400
"20150813",17408.250
"20150812",17402.510
"20150811",17402.840
"20150810",17615.170
"20150807",17373.380
"20150806",17419.750
"20150805",17540.470
"20150804",17550.690
"20150803",17598.200
"20150731",17689.860
"20150730",17745.980
"20150729",17751.390
"20150728",17630.270
"20150727",17440.590
"20150724",17568.530
"20150723",17731.920
"20150722",17851.040
"20150721",17919.290
"20150720",18100.410
"20150717",18086.450
"20150716",18120.250
"20150715",18050.170
"20150714",18053.580
"20150713",17977.680
"20150710",17760.410
"20150709",17548.620
"20150708",17515.420
"20150707",17776.910
"20150706",17683.580
"20150702",17730.110
"20150701",17757.910
"20150630",17619.510
"20150629",17596.350
"20150626",17946.680
"20150625",17890.360
"20150624",17966.070
"20150623",18144.070
"20150622",18119.780
"20150619",18015.950
"20150618",18115.840
"20150617",17935.740
"20150616",17904.480
"20150615",17791.170
"20150612",17898.840
"20150611",18039.370
"20150610",18000.400
"20150609",17764.040
"20150608",17766.550
"20150605",17849.460
"20150604",17905.580
"20150603",18076.270
"20150602",18011.940
"20150601",18040.370
"20150529",18010.680
"20150528",18126.120
"20150527",18162.990
"20150526",18041.540
"20150522",18232.020
"20150521",18285.740
"20150520",18285.400
"20150519",18312.390
"20150518",18298.880
"20150515",18272.560
"20150514",18252.240
"20150513",18060.490
"20150512",18068.230
"20150511",18105.170
"20150508",18191.110
"20150507",17924.060
"20150506",17841.980
"20150505",17928.200
"20150504",18070.400
"20150501",18024.060
"20150430",17840.520
"20150429",18035.530
"20150428",18110.140
"20150427",18037.970
"20150424",18080.140
"20150423",18058.690
"20150422",18038.270
"20150421",17949.590
"20150420",18034.930
"20150417",17826.300
"20150416",18105.770
"20150415",18112.610
"20150414",18036.700
"20150413",17977.040
"20150410",18057.650
"20150409",17958.730
"20150408",17902.510
"20150407",17875.420
"20150406",17880.850
"20150402",17763.240
"20150401",17698.180
"20150331",17776.120
"20150330",17976.310
"20150327",17712.660
"20150326",17678.230
"20150325",17718.540
"20150324",18011.140
"20150323",18116.040
"20150320",18127.650
"20150319",17959.030
"20150318",18076.190
"20150317",17849.080
"20150316",17977.420
"20150313",17749.310
"20150312",17895.220
"20150311",17635.390
"20150310",17662.940
"20150309",17995.720
"20150306",17856.780
"20150305",18135.720
"20150304",18096.900
"20150303",18203.370
"20150302",18288.630
"20150227",18132.700
"20150226",18214.420
"20150225",18224.570
"20150224",18209.190
"20150223",18116.840
"20150220",18140.440
"20150219",17985.770
"20150218",18029.850
"20150217",18047.580
"20150213",18019.350
"20150212",17972.380
"20150211",17862.140
"20150210",17868.760
"20150209",17729.210
"20150206",17824.290
"20150205",17884.880
"20150204",17673.020
"20150203",17666.400
"20150202",17361.040
"20150130",17164.950
"20150129",17416.850
"20150128",17191.370
"20150127",17387.210
"20150126",17678.700
"20150123",17672.600
"20150122",17813.980
"20150121",17554.280
"20150120",17515.230
"20150116",17511.570
"20150115",17320.710
"20150114",17427.090
"20150113",17613.680
"20150112",17640.840
"20150109",17737.370
"20150108",17907.870
"20150107",17584.520
"20150106",17371.640
"20150105",17501.650
"20150102",17832.990
"20141231",17823.070
"20141230",17983.070
"20141229",18038.230
"20141226",18053.710
"20141224",18030.210
"20141223",18024.170
"20141222",17959.440
"20141219",17804.800
"20141218",17778.150
"20141217",17356.870
"20141216",17068.870
"20141215",17180.840
"20141212",17280.830
"20141211",17596.340
"20141210",17533.150
"20141209",17801.200
"20141208",17852.480
"20141205",17958.790
"20141204",17900.100
"20141203",17912.620
"20141202",17879.550
"20141201",17776.800
"20141128",17828.240
"20141126",17827.750
"20141125",17814.940
"20141124",17817.900
"20141121",17810.060
"20141120",17719.000
"20141119",17685.730
"20141118",17687.820
"20141117",17647.750
"20141114",17634.740
"20141113",17652.790
"20141112",17612.200
"20141111",17614.900
"20141110",17613.740
"20141107",17573.930
"20141106",17554.470
"20141105",17484.530
"20141104",17383.840
"20141103",17366.240
"20141031",17390.520
"20141030",17195.420
"20141029",16974.310
"20141028",17005.750
"20141027",16817.940
"20141024",16805.410
"20141023",16677.900
"20141022",16461.320
"20141021",16614.810
"20141020",16399.670
"20141017",16380.410
"20141016",16117.240
"20141015",16141.740
"20141014",16315.190
"20141013",16321.070
"20141010",16544.100
"20141009",16659.250
"20141008",16994.220
"20141007",16719.390
"20141006",16991.910
"20141003",17009.690
"20141002",16801.050
"20141001",16804.710
"20140930",17042.900
"20140929",17071.220
"20140926",17113.150
"20140925",16945.800
"20140924",17210.060
"20140923",17055.870
"20140922",17172.680
"20140919",17279.740
"20140918",17265.990
"20140917",17156.850
"20140916",17131.970
"20140915",17031.140
"20140912",16987.510
"20140911",17049.000
"20140910",17068.710
"20140909",17013.870
"20140908",17111.420
"20140905",17137.360
"20140904",17069.580
"20140903",17078.280
"20140902",17067.560
"20140829",17098.450
"20140828",17079.570
"20140827",17122.010
"20140826",17106.700
"20140825",17076.870
"20140822",17001.220
"20140821",17039.490
"20140820",16979.130
"20140819",16919.590
"20140818",16838.740
"20140815",16662.910
"20140814",16713.580
"20140813",16651.800
"20140812",16560.540
"20140811",16569.980
"20140808",16553.930
"20140807",16368.270
"20140806",16443.340
"20140805",16429.470
"20140804",16569.280
"20140801",16493.370
"20140731",16563.300
"20140730",16880.360
"20140729",16912.110
"20140728",16982.590
"20140725",16960.570
"20140724",17083.800
"20140723",17086.630
"20140722",17113.540
"20140721",17051.730
"20140718",17100.180
"20140717",16976.810
"20140716",17138.200
"20140715",17060.680
"20140714",17055.420
"20140711",16943.810
"20140710",16915.070
"20140709",16985.610
"20140708",16906.620
"20140707",17024.210
"20140703",17068.260
"20140702",16976.240
"20140701",16956.070
"20140630",16826.600
"20140627",16851.840
"20140626",16846.130
"20140625",16867.510
"20140624",16818.130
"20140623",16937.260
"20140620",16947.080
"20140619",16921.460
"20140618",16906.620
"20140617",16808.490
"20140616",16781.010
"20140613",16775.740
"20140612",16734.190
"20140611",16843.880
"20140610",16945.920
"20140609",16943.100
"20140606",16924.280
"20140605",16836.110
"20140604",16737.530
"20140603",16722.340
"20140602",16743.630
"20140530",16717.170
"20140529",16698.740
"20140528",16633.180
"20140527",16675.500
"20140523",16606.270
"20140522",16543.080
"20140521",16533.060
"20140520",16374.310
"20140519",16511.860
"20140516",16491.310
"20140515",16446.810
"20140514",16613.970
"20140513",16715.440
"20140512",16695.470
"20140509",16583.340
"20140508",16550.970
"20140507",16518.540
"20140506",16401.020
"20140505",16530.550
"20140502",16512.890
"20140501",16558.870
"20140430",16580.840
"20140429",16535.370
"20140428",16448.740
"20140425",16361.460
"20140424",16501.650
