"Time","National Debt - Daily USA  - Debt  - $"
"20190111",21917159310974.58
"20190110",21917603881288.34
"20190109",21930194582386.14
"20190108",21941436879693.69
"20190107",21935478484527.11
"20190104",21931966199373.94
"20190103",21929258046653.58
"20190102",21943897507129.68
"20181231",21974095705790.55
"20181228",21867322638334.45
"20181227",21845329154412.01
"20181226",21861315992472.00
"20181224",21862540831594.79
"20181221",21868943731576.67
"20181220",21863635176724.12
"20181219",21873194423164.45
"20181218",21885501490485.79
"20181217",21876674953142.67
"20181214",21820936961476.66
"20181213",21823094510705.58
"20181212",21836655970708.04
"20181211",21849744563858.24
"20181210",21854296172540.94
"20181207",21850844847464.58
"20181206",21851519415475.75
"20181205",21839046215674.56
"20181204",21836687236972.05
"20181203",21824097352309.98
"20181130",21850093880675.80
"20181129",21818103811690.47
"20181128",21801924124576.84
"20181127",21816375589157.53
"20181126",21811396160621.93
"20181123",21802839722859.62
"20181121",21769263916844.09
"20181120",21782702247862.12
"20181119",21772154155056.20
"20181116",21766361664768.69
"20181115",21763815767800.21
"20181114",21725713263679.99
"20181113",21734201829935.66
"20181109",21732569650931.19
"20181108",21733425227728.46
"20181107",21690440697756.73
"20181106",21691245489008.61
"20181105",21682375718173.25
"20181102",21676608763810.66
"20181101",21683971652591.44
"20181031",21702369768174.47
"20181030",21699981385978.17
"20181029",21697502722082.55
"20181026",21694906926249.19
"20181025",21695750095091.45
"20181024",21671062290012.80
"20181023",21682446587870.73
"20181022",21674683713625.99
"20181019",21671476474549.22
"20181018",21672453590238.12
"20181017",21653793061650.80
"20181016",21661717322449.45
"20181015",21654150409486.39
"20181012",21597941304882.14
"20181011",21590013434727.39
"20181010",21594438319301.65
"20181009",21602285916278.38
"20181005",21599293061786.97
"20181004",21599377345082.36
"20181003",21605363414469.16
"20181002",21618812057150.71
"20181001",21606948383546.28
"20180928",21516058183180.23
"20180927",21431887134696.46
"20180926",21482774907893.49
"20180925",21482774907893.49
"20180924",21475519434473.53
"20180921",21466736176134.46
"20180920",21467468522886.37
"20180919",21494298981877.34
"20180918",21499171612329.23
"20180917",21490885696294.14
"20180914",21432243515559.68
"20180913",21432542252109.45
"20180912",21450777638517.61
"20180911",21466240223764.98
"20180910",21459790397306.67
"20180907",21456483108262.84
"20180906",21454589882352.10
"20180905",21471068566864.17
"20180904",21455349744287.30
"20180831",21458849674105.03
"20180830",21442467655114.31
"20180829",21439418968321.48
"20180828",21441778054853.24
"20180827",21434509795753.30
"20180824",21427915886083.86
"20180823",21427964691382.19
"20180822",21406769129269.27
"20180821",21419489702413.26
"20180820",21413596733315.34
"20180817",21411381995917.67
"20180816",21407198924328.46
"20180815",21372335862718.26
"20180814",21351570155673.96
"20180813",21345092516711.61
"20180810",21340305860713.26
"20180809",21342180438050.36
"20180808",21298611652099.77
"20180807",21309935887061.00
"20180806",21305396357131.22
"20180803",21299885021440.17
"20180802",21313281480972.70
"20180801",21264843695121.88
"20180731",21313061060202.36
"20180730",21299336900639.99
"20180727",21298529758160.39
"20180726",21298625513846.47
"20180725",21265465085278.12
"20180724",21271247800540.01
"20180723",21263807944392.77
"20180720",21260651850117.75
"20180719",21259998398094.92
"20180718",21240863782088.95
"20180717",21255414486483.41
"20180716",21243372844071.82
"20180713",21210749709985.38
"20180712",21211173172828.90
"20180711",21207800900961.24
"20180710",21216401150637.29
"20180709",21208118414223.52
"20180706",21205959245607.94
"20180705",21202772898489.06
"20180703",21200946191836.57
"20180702",21206269833983.27
"20180629",21195069635322.81
"20180628",21128999819421.29
"20180627",21132466998348.70
"20180626",21149679487479.03
"20180625",21140053677467.79
"20180622",21130600883846.19
"20180621",21130804062854.82
"20180620",21134210723405.84
"20180619",21145776248815.35
"20180618",21131552165121.66
"20180615",21123860003777.00
"20180614",21080800469062.53
"20180613",21086796728063.70
"20180612",21099489928692.23
"20180611",21092939472262.30
"20180608",21089120186022.95
"20180607",21100104747917.42
"20180606",21102352873994.41
"20180605",21101359553390.92
"20180604",21090788185039.90
"20180601",21083101841090.82
"20180531",21145215185726.27
"20180530",21105716687008.42
"20180529",21103081230154.62
"20180525",21100147496907.13
"20180524",21086523104703.44
"20180523",21082960914217.14
"20180522",21094646382036.53
"20180521",21085944732707.85
"20180518",21080657571615.85
"20180517",21080911541301.81
"20180516",21073973527665.04
"20180515",21085763264509.00
"20180514",21054333351581.17
"20180511",21050639712224.13
"20180510",21050822593901.63
"20180509",21041008612752.39
"20180508",21054765494439.73
"20180507",21044166639576.73
"20180504",21037962909322.34
"20180503",5709968280566.15
"20180502",21045329035471.85
"20180501",21030629980055.97
"20180430",21068200197433.39
"20180427",21053362097750.15
"20180426",21055498294426.90
"20180425",21059600102296.72
"20180424",21062394007499.15
"20180423",21043317739890.61
"20180420",21038689089288.52
"20180419",21035490499062.02
"20180418",21079825622461.71
"20180417",21078301250985.42
"20180416",21070966420897.65
"20180413",21063430153271.02
"20180412",21062482347576.05
"20180411",21121833941447.86
"20180410",21134791585045.75
"20180409",21126975459212.66
"20180406",21120328488282.31
"20180405",21120516214632.52
"20180404",21118181678650.67
"20180403",21117036563374.48
"20180402",21119428167134.32
"20180330",21089642954195.85
"20180329",21113576555836.45
"20180328",21071123981792.35
"20180327",21085008958072.43
"20180326",21078004295231.99
"20180323",21068911163715.00
"20180322",21065155853968.88
"20180321",21032685133173.23
"20180320",21050409012718.72
"20180319",21044423366830.66
"20180316",21034109394094.77
"20180315",21031067004766.25
"20180314",20958230936189.63
"20180313",20972809767485.34
"20180312",20962217016816.16
"20180309",20957037099272.42
"20180308",20957314831621.48
"20180307",20879868237922.03
"20180306",20878815095126.54
"20180305",20872756577561.62
"20180302",20867726890754.58
"20180301",20874435529527.56
"20180228",20855671542905.95
"20180227",20838188918432.14
"20180226",20828957756485.62
"20180223",20820865274109.09
"20180222",20804998625487.55
"20180221",20763473664583.21
"20180220",20769498460581.94
"20180216",20760158076330.68
"20180215",20710203610249.74
"20180214",20669606301184.90
"20180213",20681825802445.42
"20180212",20673916370594.86
"20180209",20669079408408.12
"20180208",20494637976880.62
"20180207",20494084701228.73
"20180206",20494165051604.50
"20180205",20494245400584.32
"20180202",20494486445042.85
"20180201",20494566890206.07
"20180131",20493729921939.72
"20180130",20493027951424.22
"20180129",20493107046026.84
"20180126",20493344333189.55
"20180125",20493423423807.19
"20180124",20492951837215.06
"20180123",20493029991624.76
"20180122",20493108144643.13
"20180119",20493342622878.63
"20180118",20493420765319.99
"20180117",20492939320324.04
"20180116",20493016378414.12
"20180112",20493324536905.96
"20180111",20493401574964.07
"20180110",20492919204874.46
"20180109",20492994543246.08
"20180108",20493069880245.37
"20180105",20493295888804.95
"20180104",20493371220438.59
"20180103",20492526045598.18
"20180102",20492598761860.61
"20171229",20492746546193.75
"20171228",20492954574011.86
"20171227",20492512514851.00
"20171226",20492584911300.31
"20171222",20492874492282.58
"20171221",20492946882116.34
"20171220",20492523558087.55
"20171219",20492594576868.17
"20171218",20492665673399.91
"20171215",20492878719927.31
"20171214",20492949732212.36
"20171213",20487502503616.26
"20171212",20492607932866.63
"20171211",20492677740169.28
"20171208",20492887195569.14
"20171207",20541101511244.25
"20171206",20546441840672.42
"20171205",20546623579203.52
"20171204",20540360356857.05
"20171201",20531846220213.62
"20171130",20590391942312.26
"20171129",20564167371736.70
"20171128",20567936964198.06
"20171127",20563678566454.32
"20171124",20557279072690.55
"20171122",20533379940805.47
"20171121",20546926554467.78
"20171120",20538363384975.76
"20171117",20534019362990.57
"20171116",20529210216668.85
"20171115",20507345683038.68
"20171114",20503586293308.37
"20171113",20497883954505.37
"20171110",20467375664755.32
"20171109",20496092622812.53
"20171108",20472055576918.71
"20171107",20482255904624.36
"20171106",20474850038554.54
"20171103",20469010197347.96
"20171102",20484949588327.36
"20171101",20453288033638.83
"20171031",20442473549889.39
"20171030",20453368882109.34
"20171027",20454137488012.65
"20171026",20453245142792.62
"20171025",20439686602058.66
"20171024",20443455421241.51
"20171023",20435639346821.03
"20171020",20432034265111.78
"20171019",20433416014983.44
"20171018",20423370425348.89
"20171017",20433393699689.36
"20171016",20422972363114.29
"20171013",20384194022196.04
"20171012",20382178657059.56
"20171011",20375497503910.59
"20171010",20383171480978.80
"20171006",20373231412162.96
"20171005",20371173402452.23
"20171004",20346648181637.91
"20171003",20343751188107.81
"20171002",20347802336477.80
"20170929",20244900016053.51
"20170928",20203668853807.76
"20170927",20188949439233.63
"20170926",20200728540248.27
"20170925",20190193324915.90
"20170922",20181984148961.74
"20170921",20179769858967.22
"20170920",20164808111509.90
"20170919",20173203847678.44
"20170918",20160428995120.04
"20170915",20153567885894.27
"20170914",20165466677134.71
"20170913",20160009329677.81
"20170912",20173505864062.25
"20170911",20165692741989.91
"20170908",20162176797904.13
"20170907",19844586961607.12
"20170906",19844332397358.53
"20170905",19844390249115.46
"20170901",19844621643528.62
"20170831",19844533441924.39
"20170830",19844760368365.93
"20170829",19844817037769.13
"20170828",19844873705820.43
"20170825",19845043703943.83
"20170824",19845100367124.09
"20170823",19844849384667.36
"20170822",19844905899360.43
"20170821",19844962412703.62
"20170818",19845131947038.07
"20170817",19845188460166.77
"20170816",19844683929063.46
"20170815",19844739708017.17
"20170814",19844796046741.63
"20170811",19844965149781.95
"20170810",19845021514944.16
"20170809",19844749791238.21
"20170808",19844805263383.88
"20170807",19844860734174.09
"20170804",19845027138435.45
"20170803",19845082603862.30
"20170802",19844808432656.75
"20170801",19844862920005.44
"20170731",19844908989217.09
"20170728",19844885019040.08
"20170727",19844938940351.37
"20170726",19844652509086.92
"20170725",19844705230729.01
"20170724",19844757951019.01
"20170721",19844916127427.14
"20170720",19844968852152.58
"20170719",19844458207438.56
"20170718",19844509405451.25
"20170717",19844560602117.52
"20170714",19844714185141.61
"20170713",19844765411285.25
"20170712",19844495864166.16
"20170711",19844546086266.82
"20170710",19844596307004.68
"20170707",19844746961071.55
"20170706",19844797176473.97
"20170705",19844525346312.34
"20170703",19844623881256.94
"20170630",19844554182651.33
"20170629",19846342893092.54
"20170628",19846080045627.47
"20170627",19846128623122.51
"20170626",19846177199258.34
"20170623",19846322940480.63
"20170622",19846371512623.16
"20170621",19845863940842.30
"20170620",19845911645535.41
"20170619",19845959348871.12
"20170616",19846102452852.32
"20170615",19846150150843.92
"20170614",19845892557867.52
"20170613",19845940165818.31
"20170612",19845987843632.60
"20170609",19846130655338.92
"20170608",19846178256583.33
"20170607",19845923800152.57
"20170606",19845970606481.70
"20170605",19846017411457.19
"20170602",19846157819438.37
"20170601",19846204620702.34
"20170531",19845941916894.67
"20170530",19846204744568.52
"20170526",19846386043286.45
"20170525",19846431364938.70
"20170524",19845945811714.33
"20170523",19845990076683.19
"20170522",19846034340301.91
"20170519",19846167124114.08
"20170518",19846211384209.15
"20170517",19845965893811.36
"20170516",19846009453270.76
"20170515",19846053011381.80
"20170512",19846183719855.51
"20170511",19846227292251.07
"20170510",19845981649507.99
"20170509",19846024425839.24
"20170508",19846067200822.73
"20170505",19846195521326.19
"20170504",19846238291542.59
"20170503",19846003311535.71
"20170502",19846045309192.19
"20170501",19846087305498.20
"20170428",19846129308635.72
"20170427",19846491745845.94
"20170426",19846044436483.65
"20170425",19846085978995.66
"20170424",19846127520117.48
"20170421",19846252141589.26
"20170420",19846293677437.80
"20170419",19846064686422.90
"20170418",19846106186190.44
"20170417",19846147684611.12
"20170414",19846272172776.67
"20170413",19846313677094.44
"20170412",19846082091559.77
"20170411",19846122820560.47
"20170410",19846163529210.99
"20170407",19846285707214.17
"20170406",19846326429133.82
"20170405",19846103311307.75
"20170404",19846142407188.85
"20170403",19846423785551.51
"20170331",19846420062676.87
"20170330",19846255248406.68
"20170329",19845825513137.10
"20170328",19845862796665.15
"20170327",19845900078837.07
"20170324",19846011928285.06
"20170323",19846049205261.81
"20170322",19845829879261.96
"20170321",19845865829114.05
"20170320",19845901777612.08
"20170317",19846009616285.34
"20170316",19846045559411.81
"20170315",19845811298014.03
"20170314",19902604401637.92
"20170313",19858033799549.96
"20170310",19853618720466.05
"20170309",19855676540211.34
"20170308",19879149018877.55
"20170307",19889862451192.35
"20170306",19883012984069.89
"20170303",19878476676904.64
"20170302",19894958569032.98
"20170301",19920418771289.27
"20170228",19959593604841.58
"20170227",19931228821002.78
"20170224",19930147891686.72
"20170223",19913901120188.15
"20170222",19935880851981.06
"20170221",19935316186835.78
"20170217",19932504874101.46
"20170216",19926581166878.36
"20170215",19937364595503.01
"20170214",19932679233716.16
"20170213",19924218517074.52
"20170210",19921065289061.68
"20170209",19922335630306.69
"20170208",19884606221456.19
"20170207",19895763669170.06
"20170206",19890330215216.52
"20170203",19885875150544.45
"20170202",19902827463569.10
"20170201",19900037472787.26
"20170131",19937261314503.29
"20170130",19939760263983.42
"20170127",19939019834828.89
"20170126",19939908790870.48
"20170125",19950603242667.53
"20170124",19958089555359.83
"20170123",19949678366998.00
"20170120",19947304555212.49
"20170119",19944429217106.77
"20170118",19961467137973.64
"20170117",19959954817351.65
"20170113",19940614376504.40
"20170112",19941807383847.05
"20170111",19951756200280.98
"20170110",19964268875957.61
"20170109",19955343885377.73
"20170106",19952808638850.59
"20170105",19948472988335.19
"20170104",19952414234340.71
"20170103",19935025589392.85
"20161230",19976826951047.80
"20161229",19879151754933.53
"20161228",19879389298528.93
"20161227",19890699605286.53
"20161223",19887188017177.11
"20161222",19877449679259.48
"20161221",19878280893331.72
"20161220",19889592850494.74
"20161219",19882663760136.69
"20161216",19876036342624.52
"20161215",19875320486024.59
"20161214",19871457952087.79
"20161213",19884323271403.23
"20161212",19878727122829.69
"20161209",19876373398959.37
"20161208",19877418396481.66
"20161207",19891173384830.04
"20161206",19892366528061.22
"20161205",19885572935868.37
"20161202",19881223023152.88
"20161201",19901545151126.51
"20161130",19948064697245.75
"20161129",19930698649977.45
"20161128",19929184161352.13
"20161125",19928118193162.55
"20161123",19897994347700.50
"20161122",19907540739514.52
"20161121",19899004081493.50
"20161118",19895970356079.03
"20161117",19897150970886.87
"20161116",19857827860685.61
"20161115",19867119032053.28
"20161114",19842173949869.58
"20161110",19840574291147.01
"20161109",19793697162303.82
"20161108",19806239858606.04
"20161107",19796589500776.08
"20161104",19790767232311.94
"20161103",19790136330003.19
"20161102",19769621678552.72
"20161101",19760054127045.83
"20161031",19805715214641.75
"20161028",19820509238591.49
"20161027",19824868242412.09
"20161026",19795497461281.62
"20161025",19808504852207.21
"20161024",19788020688520.53
"20161021",19786440755303.80
"20161020",19785585189878.12
"20161019",19754257061882.16
"20161018",19766580028249.41
"20161017",19755564017152.97
"20161014",19721618557803.77
"20161013",19720830822303.49
"20161012",19688681856198.07
"20161011",19694316597212.14
"20161007",19687424480959.14
"20161006",19688773606117.54
"20161005",19663411497797.40
"20161004",19659460647160.83
"20161003",19642949742561.51
"20160929",19532890233853.17
"20160928",19519932367847.28
"20160927",19529588502748.67
"20160926",19529588502748.67
"20160923",19524762977719.62
"20160922",19519471076568.72
"20160921",19517456954252.41
"20160920",19524335895543.03
"20160919",19518125575008.41
"20160916",19510910825630.70
"20160915",19508241572025.55
"20160914",19480514004421.76
"20160913",19493291113807.77
"20160912",19484660626765.52
"20160909",19482694389006.50
"20160908",19482086271333.82
"20160907",19479491484659.13
"20160906",19473941446098.32
"20160902",19470383603813.73
"20160901",19481571141221.67
"20160831",19510296242765.66
"20160830",19492084009780.39
"20160829",19486203862406.11
"20160826",19483788594328.27
"20160825",19472203761101.76
"20160824",19442913162409.14
"20160823",19454944368305.99
"20160822",19446002493012.82
"20160819",19443266164413.41
"20160818",19445100633520.18
"20160817",19421791184792.65
"20160816",19428079384183.27
"20160815",19420158030582.00
"20160812",19403004579982.84
"20160811",19404383126105.06
"20160810",19377642119796.72
"20160809",19390746423154.18
"20160808",19385571696962.50
"20160805",19380142516035.42
"20160804",19379566441022.18
"20160803",19359342005838.40
"20160802",19374216793141.43
"20160801",19358707115589.00
"20160729",19427694579786.64
"20160728",19412286582301.91
"20160727",19402906386524.25
"20160726",19415128807132.94
"20160725",19407186678584.22
"20160722",19400333651023.48
"20160721",19400566867618.92
"20160720",19391704027667.12
"20160719",19402361890929.46
"20160718",19391094247028.26
"20160715",19386059979169.78
"20160714",19380590048237.64
"20160713",19361289088131.56
"20160712",19372930080447.35
"20160711",19366974554360.50
"20160708",19362032846861.90
"20160707",19360176741617.54
"20160706",19343541768823.97
"20160705",19327746021669.98
"20160701",19316931693227.11
"20160630",19381591140792.22
"20160629",19283325598353.52
"20160628",19284399792310.79
"20160627",19279322871098.41
"20160624",19277937823462.93
"20160623",19259812422016.47
"20160622",19252431295170.04
"20160621",19265744770778.65
"20160620",19256656157468.52
"20160617",19252984535317.64
"20160616",19248244178321.02
"20160615",19245574495391.72
"20160614",19230063635793.43
"20160613",19222275711902.53
"20160610",19218850296387.20
"20160609",19219465874275.48
"20160608",19230270048404.99
"20160607",19228398127636.98
"20160606",19220484557364.60
"20160603",19214514064181.20
"20160602",19229279536521.72
"20160601",19230634229069.55
"20160531",19265451572330.71
"20160527",19226417790338.55
"20160526",19216137840436.13
"20160525",19214128824849.92
"20160524",19223047535897.31
"20160523",19212492715543.24
"20160520",19209816164726.68
"20160519",19212451626242.62
"20160518",19206517044303.54
"20160517",19218044952594.27
"20160516",19206980431910.03
"20160513",19199894125074.04
"20160512",19200169433825.24
"20160511",19193401105901.94
"20160510",19204514007221.38
"20160509",19197497243132.16
"20160506",19190059553782.20
"20160505",19188102413248.81
"20160504",5402940266373.59
"20160503",19171815928698.82
"20160502",19170001895674.07
"20160429",19187387483983.37
"20160428",19186207744589.55
"20160427",19209405161325.67
"20160426",19218673186359.42
"20160425",19210345265252.22
"20160422",19198172774532.79
"20160421",19196769313019.68
"20160420",19215679607589.41
"20160419",19221832717891.35
"20160418",19208277938656.01
"20160415",19203643099493.25
"20160414",19203187186595.43
"20160413",19221297840432.89
"20160412",19234006195713.79
"20160411",19226226489207.18
"20160408",19223197501336.14
"20160407",19221206331589.08
"20160406",19238908031871.91
"20160405",19237067126145.04
"20160404",19228044093705.08
"20160401",19218516838306.52
"20160331",19264938619643.07
"20160330",19232950841710.63
"20160329",19235698467028.83
"20160328",19230095073592.91
"20160325",19214929969878.51
"20160324",19211664593324.31
"20160323",19200599665938.77
"20160322",19211342727724.78
"20160321",19205597413856.96
"20160318",19202994410080.31
"20160317",19188228962810.34
"20160316",19151399412549.77
"20160315",19161874528616.47
"20160314",19128719568343.76
"20160311",19124286688944.60
"20160310",19125325175994.32
"20160309",19100184217930.48
"20160308",19112876896495.00
"20160307",19097825627603.00
"20160304",19093496023754.46
"20160303",19093150844906.08
"20160302",19097521671148.84
"20160301",19090880799021.63
"20160229",19125455057425.80
"20160226",19080123823020.74
"20160225",19070657293114.53
"20160224",19054164528762.98
"20160223",19064879099682.52
"20160222",19053381143534.21
"20160219",19052403868282.85
"20160218",19047126605778.92
"20160217",19028997194318.47
"20160216",19030024473090.85
"20160212",19016524950018.52
"20160211",19016261934962.89
"20160210",18991325677268.42
"20160209",19005359240744.60
"20160208",19000235912585.65
"20160205",18996371521571.14
"20160204",18996686873180.04
"20160203",18975193925522.52
"20160202",18992299007716.94
"20160201",18975719827131.21
"20160129",19012827698417.93
"20160128",18989803014663.70
"20160127",18962589775045.41
"20160126",18968344511857.01
"20160125",18961968091511.19
"20160122",18961637973066.42
"20160121",18958837318233.62
"20160120",18941406899252.15
"20160119",18940640177236.59
"20160115",18934589767234.96
"20160114",18923558492862.95
"20160113",18955778615041.19
"20160112",18897682225587.89
"20160111",18891869602125.16
"20160108",18888640000429.69
"20160107",18887876761105.13
"20160106",18918380217573.17
"20160105",18918445650584.70
"20160104",18900932690017.04
"20151231",18922179009420.89
"20151230",18825061664535.94
"20151229",18824106833961.88
"20151228",18818691266108.11
"20151224",18802880491536.00
"20151223",18795265446286.58
"20151222",18807362192458.66
"20151221",18798201511452.04
"20151218",18795033928275.59
"20151217",18796279678290.28
"20151216",18788138221346.49
"20151215",18798211680628.12
"20151214",18767636190409.94
"20151211",18764921984881.44
"20151210",18762069058578.88
"20151209",18775084981439.86
"20151208",18789064366804.18
"20151207",18789199596566.93
"20151204",18786830545682.60
"20151203",18787992446946.88
"20151202",18802739156430.97
"20151201",18797839523342.27
"20151130",18827322966908.80
"20151127",18782451267806.04
"20151125",18719613274893.51
"20151124",18730245227214.29
"20151123",18722746583118.03
"20151120",18720800091471.32
"20151119",18718208593840.77
"20151118",18658332270181.33
"20151117",18670014021513.75
"20151116",18660490153278.25
"20151113",18653507360573.44
"20151112",18649024795838.78
"20151110",18605392428942.18
"20151109",18614769216712.84
"20151106",18609854385435.22
"20151105",18609800070328.73
"20151104",18532854382821.74
"20151103",18532338091711.48
"20151102",18492091120833.99
"20151030",18152981685747.52
"20151029",18152590112385.69
"20151028",18152580145845.23
"20151027",18152591905989.84
"20151026",18152603664891.43
"20151023",18152638934294.38
"20151022",18152650688229.10
"20151021",18152646499693.22
"20151020",18152658224184.62
"20151019",18152669947434.69
"20151016",18152705110034.31
"20151015",18152716828322.01
"20151014",18150469856492.42
"20151013",18150481620363.39
"20151009",18150528663452.99
"20151008",18150540421127.53
"20151007",18150545316215.04
"20151006",18150557110995.00
"20151005",18150568904537.03
"20151002",18150604277750.63
"20151001",18150616066342.53
"20150930",18150617666484.33
"20150929",18151013867116.33
"20150928",18151025702418.99
"20150925",18151073031331.50
"20150924",18151073031331.50
"20150923",18151073040341.31
"20150922",18151084928227.59
"20150921",18151096814879.09
"20150918",18151132467967.52
"20150917",18151144349685.38
"20150916",18151038086972.10
"20150915",18151049785935.02
"20150914",18151061535754.50
"20150911",18151096777894.92
"20150910",18151108522784.29
"20150909",18151085083623.06
"20150908",18151096731763.19
"20150904",18151143313299.53
"20150903",18151154955297.86
"20150902",18151127937093.02
"20150901",18151139449629.01
"20150831",18151150179588.05
"20150828",18151237646318.35
"20150827",18151249152738.76
"20150826",18151231820725.70
"20150825",18151243220485.43
"20150824",18151254619016.77
"20150821",18151288807268.17
"20150820",18151300217506.79
"20150819",18151182796107.65
"20150818",18151193827731.52
"20150817",18151204858128.58
"20150814",18151237942000.82
"20150813",18151248999672.85
"20150812",18151220988961.42
"20150811",18151230800098.70
"20150810",18151241599502.70
"20150807",18151273990514.80
"20150806",18151284784984.56
"20150805",18151269311050.42
"20150804",18151279961119.70
"20150803",18151290609956.23
"20150731",18151322549156.91
"20150730",18151852256637.31
"20150729",18151840607288.77
"20150728",18151851139012.51
"20150727",18151861669505.08
"20150724",18151893254765.19
"20150723",18151903780340.35
"20150722",18151811363890.79
"20150721",18151821652004.79
"20150720",18151831938889.04
